_source.data.protocol,_source.data.id,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.description,_source.rule.groups,_source.rule.pci_dss,_source.rule.tsc,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.mitre.id,_source.rule.frequency,_source.rule.hipaa,_source.agent.description,_source.rule.id,history._source.rule.firedtimes,history._source.data.id.200,history._source.data.id.300,history._source.data.id.400,history._source.data.id.500,T1212,T1068,T1064,T1210,T1083,T1055,T1190,output_2,output_1
GET,200,34,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,113,3,20,1,1,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,200,49,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,171,1,23,1,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,3265,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,3251,3,18,4,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,1162,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,1167,8,2,15,0,0,0,0,0,0,0,0,brute_force,ATTACK
GET,500,71,0,6,XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1064""]", ,nan,APACHE_SERVER,31105,256,24,0,0,1,0,0,1,0,0,0,6,XSS,ATTACK
GET,200,5841,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,5839,12,0,0,13,0,0,3,0,3,3,5,NORMAL,NORMAL
GET,500,2314,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,5988,21,0,0,4,0,0,1,0,0,0,1,NORMAL,NORMAL
GET,304,473,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,531,2,20,2,1,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,400,475,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,5675,2,0,6,17,0,0,0,0,6,6,5,NORMAL,NORMAL
GET,304,6192,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,6159,10,14,1,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,773,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,787,0,23,2,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,200,20,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,69,19,4,2,0,0,0,0,0,0,0,0,Broken_Authentication,ATTACK
POST,401,277,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,427,5,6,14,0,0,0,0,0,0,0,0,brute_force,ATTACK
GET,500,110,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,308,0,0,5,20,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,387,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,388,19,4,2,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,170,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,533,2,22,1,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,54,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,46,6,15,4,0,0,0,0,0,0,0,0,NORMAL,NORMAL
POST,401,4,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,4822,1,23,1,0,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,200,490,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,530,24,0,0,1,0,0,0,0,0,0,0,NORMAL,NORMAL
GET,304,3512,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,3510,0,21,2,2,0,0,0,0,0,0,0,NORMAL,NORMAL
